id;environment_name;layer_name;component_name;host_name;conf_file_name;conf_file_install_path;conf_file_upload_path
1;UAT;API;China;quantify multi-byte;interface Cotton Robust;user-centric Infrastructure;Managed Dobra application
2;PROD;DATA;Direct;Small Frozen Salad bypassing;time-frame Quality;Borders Borders Practical;methodical
3;UAT;API;Associate Designer;mindshare;Guam bandwidth Liaison;program Auto Loan Account Refined;infomediaries
4;PP;WEB;Planner;PCI SAS;Interactions;Pennsylvania dynamic bandwidth;navigate Oklahoma
5;SIT;ESB;hack;Fresh payment synthesize;Versatile seize;asymmetric EXE;web services
6;SIT;CACHE;Savings Account;heuristic Orchestrator Naira;Legacy Unbranded Plastic Chips;Unbranded Cotton Table Generic B2B;olive
7;UAT;MS;Ridges Beauty dynamic;multi-byte Pound Sterling;Frozen;parsing;models New Mexico District
8;PROD;KAFKA;Strategist Shirt;navigate redefine;generating bypassing Bypass;Plastic Movies;SMS
9;SIT;MS;purple User-friendly;Savings Account;SMTP;Checking Account global Steel;Borders Springs connecting
10;SIT;WEB;Grocery transmit;payment digital;Rubber Industrial seamless;withdrawal Jamaica;International
