id;layer_name;os_name;os_version;host_name;host_ip;host_cpu;host_memory_mb;host_hddgb
1;CACHE;AIX;Re-contextualized;local Shoes;Intelligent Frozen Sausages Villages;27956;91486;88349
2;DATA;AIX;Incredible functionalities fuchsia;infrastructure;mesh;39469;93615;84421
3;DATA;WIN;portal calculating Metal;real-time discrete redundant;Synergistic Personal Loan Account Sleek;518;50151;62789
4;WEB;SPARC;implementation;Wallis and Futuna;generating;86040;3050;25025
5;CACHE;SPARC;composite Orchestrator Club;Intelligent Granite Shirt Peru deposit;Frozen Analyst card;4106;79518;39882
6;KAFKA;WIN;Refined infomediaries Som;Salad;ROI;23978;54922;9387
7;CACHE;REDHATLINUX;Louisiana;hack;leading-edge;9179;4600;9415
8;API;SPARC;e-business Light;integrate Personal Loan Account;HTTP explicit;1530;62585;93343
9;ESB;AIX;Solutions COM;Data North Dakota;North Carolina Granite;81120;54561;82063
10;MS;WIN;utilize;Generic;robust withdrawal generate;68161;2327;34062
