id;os_name;os_version;os_ver_desc
1;SPARC;card Plastic;Computers Personal Loan Account Berkshire
2;MAC;deposit Canadian Dollar Lebanon;Designer Persistent
3;SPARC;Point Orchestrator;Solomon Islands Licensed
4;AIX;neural-net red;Buckinghamshire Future-proofed deposit
5;MAC;Cambridgeshire hacking;bricks-and-clicks Concrete Global
6;AIX;Borders content-based;Tasty Customer Human
7;SPARC;programming SCSI drive;invoice Unbranded Cheese
8;AIX;Supervisor clear-thinking;Latvia
9;REDHATLINUX;Bedfordshire;navigate
10;WIN;Benin Berkshire;dedicated Persevering
